transaction_id,transaction_date,entity,business_unit,cost_center,account_code,account_name,account_category,scenario,amount,currency,source_system
TXN0017377,2023-05-02,France,Digital,IT & Data,4000,Product Revenue,Revenue,Actual,33761.9,EUR,ERP
TXN0019242,2023-05-03,Spain,B2B,Finance,5000,Cost of Goods Sold,COGS,Actual,-53771.81,EUR,Planning
TXN0017230,2023-03-26,France,Retail,Sales,5000,Cost of Goods Sold,COGS,Actual,-14982.18,EUR,CRM
TXN0017272,2023-12-16,France,Digital,IT & Data,6200,Cloud & Software,OPEX,Actual,-46399.44,EUR,Planning
TXN0014564,2023-03-04,Spain,Retail,Sales,5000,Cost of Goods Sold,COGS,Actual,-9366.46,EUR,CRM
TXN0008467,2023-10-18,France,Retail,Sales,6500,Professional Services,OPEX,Actual,-10693.4,EUR,Planning
TXN0011276,2024-06-04,Spain,Retail,Sales,5000,Cost of Goods Sold,COGS,Budget,-23089.36,EUR,ERP
TXN0012643,2023-06-24,France,Retail,Sales,4000,Product Revenue,Revenue,Actual,16530.69,EUR,Planning
TXN0007878,2023-12-30,Spain,Retail,Retail Operations,6100,Salaries,OPEX,Actual,-14526.78,EUR,ERP
TXN0007785,2023-12-20,Germany,B2B,Corporate Sales,5000,Cost of Goods Sold,COGS,Budget,-37031.22,EUR,ERP
TXN0015470,2024-08-24,Spain,Digital,IT & Data,6400,Marketing Spend,OPEX,Actual,-1758.35,EUR,ERP
TXN0010384,2024-05-13,Spain,Digital,IT & Data,6100,Salaries,OPEX,Budget,-6012.4,EUR,CRM
TXN0018116,2024-12-28,France,Retail,Sales,6100,Salaries,OPEX,Budget,-12193.6,EUR,CRM
TXN0011452,2024-10-06,France,B2B,Corporate Sales,6400,Marketing Spend,OPEX,Actual,-8241.61,EUR,ERP
TXN0008375,2024-10-30,France,Retail,Retail Operations,6100,Salaries,OPEX,Actual,-10489.96,EUR,ERP
TXN0004231,2023-02-23,Spain,B2B,Corporate Sales,6100,Salaries,OPEX,Actual,-8022.18,EUR,CRM
TXN0004443,2024-05-14,France,Retail,Sales,6100,Salaries,OPEX,Actual,-12873.79,EUR,CRM
TXN0004631,2023-04-19,France,B2B,Corporate Sales,6200,Cloud & Software,OPEX,Actual,-11287.88,EUR,CRM
TXN0019035,2023-10-24,Germany,B2B,Corporate Sales,6100,Salaries,OPEX,Budget,-13744.73,EUR,CRM
TXN0010990,2024-09-20,France,B2B,Corporate Sales,4000,Product Revenue,Revenue,Actual,52950.64,EUR,ERP
TXN0010014,2024-07-19,Germany,Retail,Sales,5000,Cost of Goods Sold,COGS,Actual,-28261.1,EUR,ERP
TXN0003858,2023-01-14,France,Retail,Retail Operations,5000,Cost of Goods Sold,COGS,Budget,-26240.34,EUR,CRM
TXN0013344,2023-08-23,Germany,Retail,Sales,4000,Product Revenue,Revenue,Actual,39494.75,EUR,ERP
TXN0019534,2023-07-02,France,Retail,Retail Operations,5000,Cost of Goods Sold,COGS,Actual,-16264.57,EUR,Planning
TXN0014581,2023-05-17,Germany,Digital,Marketing,6100,Salaries,OPEX,Budget,-6763.59,EUR,ERP
TXN0013530,2023-08-20,Germany,B2B,Corporate Sales,5000,Cost of Goods Sold,COGS,Actual,-26911.09,EUR,CRM
TXN0019700,2023-01-27,France,B2B,Finance,5000,Cost of Goods Sold,COGS,Budget,-26512.41,EUR,ERP
TXN0019408,2023-07-24,Germany,B2B,Finance,5000,Cost of Goods Sold,COGS,Budget,-16544.49,EUR,ERP
TXN0012172,2024-08-08,Germany,B2B,Finance,5000,Cost of Goods Sold,COGS,Budget,-19845.25,EUR,ERP
TXN0009394,2023-10-20,Germany,B2B,Finance,5000,Cost of Goods Sold,COGS,Budget,-43436.94,EUR,CRM
TXN0001536,2023-01-23,France,Retail,Sales,6400,Marketing Spend,OPEX,Actual,-9088.72,EUR,ERP
TXN0011097,2024-07-14,Spain,B2B,Corporate Sales,6500,Professional Services,OPEX,Actual,-4172.74,EUR,CRM
TXN0010171,2023-03-01,Germany,Retail,Sales,6100,Salaries,OPEX,Actual,-2879.46,EUR,ERP
TXN0000504,2024-09-26,Germany,Retail,Sales,5000,Cost of Goods Sold,COGS,Budget,-12384.35,EUR,ERP
TXN0003422,2024-07-29,Spain,Retail,Sales,6100,Salaries,OPEX,Actual,-12512.53,EUR,ERP
TXN0011076,2024-03-19,France,Retail,Retail Operations,6100,Salaries,OPEX,Actual,-2545.05,EUR,ERP
TXN0003223,2024-07-20,Germany,Retail,Sales,4010,Service Revenue,Revenue,Actual,91904.1,EUR,ERP
TXN0003288,2023-05-27,Spain,Digital,Marketing,5000,Cost of Goods Sold,COGS,Budget,-17789.06,EUR,CRM
TXN0009864,2024-04-05,Spain,Retail,Retail Operations,6200,Cloud & Software,OPEX,Actual,-11208.76,EUR,ERP
TXN0003753,2024-12-03,Spain,Digital,Marketing,5000,Cost of Goods Sold,COGS,Budget,-21308.28,EUR,Planning
TXN0006180,2024-11-02,Spain,Retail,Retail Operations,5000,Cost of Goods Sold,COGS,Actual,-11312.44,EUR,ERP
TXN0005834,2023-06-28,Germany,Digital,IT & Data,5000,Cost of Goods Sold,COGS,Budget,-40713.87,EUR,ERP
TXN0005922,2024-08-05,Germany,Retail,Retail Operations,6200,Cloud & Software,OPEX,Budget,-13588.82,EUR,CRM
TXN0014086,2023-03-04,Germany,Digital,Marketing,4010,Service Revenue,Revenue,Budget,62672.29,EUR,ERP
TXN0004230,2023-01-11,France,B2B,Corporate Sales,6100,Salaries,OPEX,Actual,-4880.37,EUR,ERP
TXN0018851,2024-11-26,France,B2B,Corporate Sales,6100,Salaries,OPEX,Actual,-10918.77,EUR,ERP
TXN0019926,2023-04-15,Germany,Digital,IT & Data,5000,Cost of Goods Sold,COGS,Actual,-28817.8,EUR,ERP
TXN0009530,2023-11-17,Germany,Retail,Retail Operations,5000,Cost of Goods Sold,COGS,Budget,-31105.73,EUR,Planning
TXN0014751,2024-04-27,France,B2B,Corporate Sales,6100,Salaries,OPEX,Actual,-4717.27,EUR,ERP
TXN0008324,2023-07-24,France,Retail,Retail Operations,6100,Salaries,OPEX,Actual,-8361.85,EUR,CRM
TXN0015286,2023-08-28,Germany,Retail,Retail Operations,5000,Cost of Goods Sold,COGS,Budget,-18222.09,EUR,CRM
TXN0016534,2024-11-13,France,Retail,Sales,5000,Cost of Goods Sold,COGS,Actual,-13707.31,EUR,Planning
TXN0017721,2024-02-14,Spain,Retail,Sales,6100,Salaries,OPEX,Actual,-4122.3,EUR,Planning
TXN0004692,2023-02-18,France,Digital,Marketing,5000,Cost of Goods Sold,COGS,Actual,-44944.84,EUR,ERP
TXN0006951,2024-05-18,Spain,Retail,Retail Operations,6200,Cloud & Software,OPEX,Actual,-3510.17,EUR,Planning
TXN0000961,2023-04-23,France,Retail,Sales,6200,Cloud & Software,OPEX,Actual,-8276.51,EUR,ERP
TXN0004376,2024-03-03,France,B2B,Corporate Sales,4000,Product Revenue,Revenue,Budget,32680.84,EUR,ERP
TXN0000475,2024-04-08,France,Digital,Marketing,5000,Cost of Goods Sold,COGS,Actual,-44889.35,EUR,Planning
TXN0013888,2024-03-12,France,Retail,Sales,6200,Cloud & Software,OPEX,Actual,-7700.78,EUR,ERP
TXN0014159,2023-07-27,Germany,Digital,IT & Data,6300,Travel & Expenses,OPEX,Actual,-5796.49,EUR,ERP
TXN0010400,2024-02-01,Germany,B2B,Corporate Sales,6100,Salaries,OPEX,Actual,-5516.54,EUR,ERP
TXN0001535,2024-08-19,France,Retail,Sales,4010,Service Revenue,Revenue,Actual,,EUR,ERP
TXN0012390,2023-02-02,Spain,Digital,IT & Data,6300,Travel & Expenses,OPEX,Actual,-7707.0,EUR,CRM
TXN0010278,2023-06-16,France,B2B,Finance,4010,Service Revenue,Revenue,Actual,40354.27,EUR,Planning
TXN0012123,2024-10-05,Spain,Digital,Marketing,6100,Salaries,OPEX,Actual,-8972.02,EUR,ERP
TXN0000219,2023-11-23,France,Retail,Retail Operations,6400,Marketing Spend,OPEX,Actual,-8479.66,EUR,Planning
TXN0006099,2024-07-30,France,B2B,Corporate Sales,4010,Service Revenue,Revenue,Budget,35102.49,EUR,CRM
TXN0000981,2024-03-07,France,Retail,Sales,4000,Product Revenue,Revenue,Budget,96669.22,EUR,ERP
TXN0003523,2024-08-28,Germany,Retail,Sales,4010,Service Revenue,Revenue,Actual,54640.16,EUR,CRM
TXN0001431,2023-12-10,France,Retail,Retail Operations,4010,Service Revenue,Revenue,Budget,99208.27,EUR,ERP
TXN0007773,2024-02-27,Germany,B2B,Corporate Sales,6100,Salaries,OPEX,Budget,-9401.29,EUR,ERP
TXN0009452,2023-09-04,France,Retail,Sales,6500,Professional Services,OPEX,Budget,-11566.86,EUR,ERP
TXN0009103,2023-12-15,Germany,B2B,Finance,4000,Product Revenue,Revenue,Actual,48480.05,EUR,ERP
TXN0013869,2024-05-16,France,Digital,IT & Data,6100,Salaries,OPEX,Actual,-5965.96,EUR,ERP
TXN0010478,2023-11-16,Germany,B2B,Corporate Sales,4010,Service Revenue,Revenue,Actual,14822.3,EUR,ERP
TXN0018562,2024-11-25,Germany,B2B,Corporate Sales,4000,Product Revenue,Revenue,Actual,44529.77,EUR,CRM
TXN0013584,2023-08-28,Germany,B2B,Corporate Sales,4000,Product Revenue,Revenue,Actual,23332.49,EUR,ERP
TXN0011633,2023-07-01,Spain,B2B,Corporate Sales,6300,Travel & Expenses,OPEX,Actual,-8259.82,EUR,CRM
TXN0007807,2023-06-21,France,Retail,Sales,4000,Product Revenue,Revenue,Budget,77625.88,EUR,Planning
TXN0008142,2023-10-15,Germany,B2B,Corporate Sales,6400,Marketing Spend,OPEX,Budget,-4055.13,EUR,CRM
TXN0013399,2024-02-23,France,Digital,IT & Data,6100,Salaries,OPEX,Budget,-4326.55,EUR,ERP
TXN0000448,2024-11-29,France,Digital,IT & Data,4000,Product Revenue,Revenue,Actual,32639.79,EUR,ERP
TXN0000323,2024-03-25,France,Retail,Retail Operations,5000,Cost of Goods Sold,COGS,Actual,-44620.33,EUR,ERP
TXN0019394,2023-12-06,Germany,Digital,Marketing,6200,Cloud & Software,OPEX,Actual,-7316.79,EUR,CRM
TXN0009735,2023-10-19,Germany,Retail,Sales,6500,Professional Services,OPEX,Actual,-3324.95,EUR,ERP
TXN0019273,2024-12-31,France,B2B,Corporate Sales,4000,Product Revenue,Revenue,Actual,30240.42,EUR,ERP
TXN0011238,2024-03-18,Germany,Retail,Sales,6100,Salaries,OPEX,Budget,-15559.08,EUR,ERP
TXN0013056,2023-01-20,Germany,B2B,Finance,5000,Cost of Goods Sold,COGS,Actual,-17866.03,EUR,ERP
TXN0014430,2024-08-18,Spain,Retail,Retail Operations,6500,Professional Services,OPEX,Actual,-2494.76,EUR,Planning
TXN0002741,2023-05-16,Spain,Retail,Retail Operations,6400,Marketing Spend,OPEX,Actual,-5733.87,EUR,ERP
TXN0004547,2024-03-07,Germany,Digital,Marketing,6500,Professional Services,OPEX,Budget,-11437.84,EUR,CRM
TXN0005216,2023-06-19,Germany,Retail,Retail Operations,6100,Salaries,OPEX,Actual,-6501.8,EUR,ERP
TXN0014433,2024-10-27,France,B2B,Corporate Sales,6100,Salaries,OPEX,Budget,-12161.8,EUR,CRM
TXN0012846,2024-05-04,Germany,B2B,Corporate Sales,6400,Marketing Spend,OPEX,Actual,-7815.91,EUR,CRM
TXN0007815,2023-12-02,Spain,Digital,Marketing,6500,Professional Services,OPEX,Actual,-8740.66,EUR,ERP
TXN0010582,2023-08-31,Germany,B2B,Corporate Sales,4000,Product Revenue,Revenue,Budget,38902.24,EUR,Planning
TXN0002316,2023-01-01,France,B2B,Finance,5000,Cost of Goods Sold,COGS,Actual,-15188.74,EUR,ERP
TXN0018947,2024-07-31,France,B2B,Finance,5000,Cost of Goods Sold,COGS,Actual,-29830.12,EUR,ERP
TXN0010050,2024-04-09,Germany,B2B,Finance,5000,Cost of Goods Sold,COGS,Actual,-40218.08,EUR,CRM
TXN0009578,2023-04-11,Germany,Retail,Sales,4000,Product Revenue,Revenue,Budget,38182.8,EUR,CRM
TXN0015320,2024-02-07,France,Retail,Sales,4000,Product Revenue,Revenue,Budget,50377.55,EUR,ERP
TXN0000386,2023-03-31,France,Digital,IT & Data,5000,Cost of Goods Sold,COGS,Actual,-59028.68,EUR,Planning
TXN0012036,2024-08-24,Germany,B2B,Corporate Sales,6200,Cloud & Software,OPEX,Budget,-3292.17,EUR,ERP
TXN0004014,2023-12-24,Spain,Retail,Retail Operations,6400,Marketing Spend,OPEX,Actual,-7394.75,EUR,ERP
TXN0000804,2024-11-02,France,B2B,Corporate Sales,6300,Travel & Expenses,OPEX,Actual,-9982.15,EUR,CRM
TXN0011848,2023-08-10,France,Digital,Marketing,6100,Salaries,OPEX,Actual,-20703.21,EUR,ERP
TXN0004326,2023-10-15,Germany,Digital,Marketing,6200,Cloud & Software,OPEX,Actual,-6820.89,EUR,ERP
TXN0011399,2024-03-08,Spain,Retail,Sales,6100,Salaries,OPEX,Actual,-2720.68,EUR,CRM
TXN0004955,2023-10-02,Germany,Retail,Retail Operations,4010,Service Revenue,Revenue,Actual,86133.13,EUR,CRM
TXN0013466,2024-09-16,Spain,Retail,Retail Operations,6100,Salaries,OPEX,Budget,-12640.17,EUR,Planning
TXN0017542,2023-03-17,France,Digital,IT & Data,6400,Marketing Spend,OPEX,Actual,-7476.97,EUR,Planning
TXN0007922,2023-08-19,Spain,B2B,Corporate Sales,4010,Service Revenue,Revenue,Budget,20508.58,EUR,Planning
TXN0000739,2024-06-23,Germany,Retail,Retail Operations,6500,Professional Services,OPEX,Budget,-18406.45,EUR,ERP
TXN0006545,2023-05-07,Spain,Retail,Retail Operations,5000,Cost of Goods Sold,COGS,Actual,-64752.61,EUR,Planning
TXN0009697,2023-11-10,Germany,B2B,Corporate Sales,6100,Salaries,OPEX,Budget,-3612.85,EUR,CRM
TXN0017508,2024-08-29,Spain,B2B,Corporate Sales,6200,Cloud & Software,OPEX,Actual,-9200.74,EUR,ERP
TXN0004464,2024-04-24,France,Digital,Marketing,5000,Cost of Goods Sold,COGS,Actual,-13369.17,EUR,ERP
TXN0001714,2024-06-20,France,Retail,Sales,4000,Product Revenue,Revenue,Actual,20038.0,EUR,CRM
TXN0009249,2024-01-06,Germany,Digital,IT & Data,5000,Cost of Goods Sold,COGS,Budget,-37713.13,EUR,CRM
TXN0004011,2023-09-16,Spain,Retail,Sales,6200,Cloud & Software,OPEX,Budget,-10916.15,EUR,CRM
TXN0011445,2023-08-14,Germany,Digital,Marketing,5000,Cost of Goods Sold,COGS,Budget,-9398.24,EUR,ERP
TXN0002035,2024-12-21,France,B2B,Finance,5000,Cost of Goods Sold,COGS,Actual,-18883.18,EUR,ERP
TXN0017179,2024-12-04,Germany,B2B,Finance,6100,Salaries,OPEX,Budget,-4430.05,EUR,Planning
TXN0017411,2023-04-12,France,Retail,Sales,6100,Salaries,OPEX,Actual,-3209.85,EUR,ERP
TXN0012187,2023-04-07,France,Retail,Retail Operations,6200,Cloud & Software,OPEX,Actual,-11008.01,EUR,ERP
TXN0009168,2024-12-18,Germany,B2B,Finance,6100,Salaries,OPEX,Budget,-1753.12,EUR,Planning
TXN0002389,2024-11-29,Germany,Retail,Retail Operations,5000,Cost of Goods Sold,COGS,Budget,-16147.25,EUR,Planning
TXN0005611,2023-07-22,France,Retail,Sales,6400,Marketing Spend,OPEX,Actual,-6661.72,EUR,CRM
TXN0018403,2024-02-03,Germany,Retail,Retail Operations,6100,Salaries,OPEX,Actual,-2304.53,EUR,Planning
TXN0008731,2024-03-12,Spain,Retail,Retail Operations,5000,Cost of Goods Sold,COGS,Budget,-14423.09,EUR,ERP
TXN0015294,2023-02-16,Germany,Retail,Retail Operations,6500,Professional Services,OPEX,Actual,-3217.39,EUR,ERP
TXN0011698,2023-03-15,France,Digital,Marketing,5000,Cost of Goods Sold,COGS,Budget,-40043.48,EUR,ERP
TXN0018937,2024-11-09,France,B2B,Corporate Sales,5000,Cost of Goods Sold,COGS,Actual,-28436.03,EUR,CRM
TXN0016473,2024-12-21,France,Retail,Retail Operations,5000,Cost of Goods Sold,COGS,Actual,-11060.69,EUR,CRM
TXN0016198,2023-11-27,France,B2B,Finance,6200,Cloud & Software,OPEX,Actual,-10341.19,EUR,ERP
TXN0010477,2024-05-29,Spain,B2B,Finance,6500,Professional Services,OPEX,Actual,-3226.28,EUR,Planning
TXN0002128,2024-04-02,Germany,B2B,Corporate Sales,6100,Salaries,OPEX,Actual,-10127.62,EUR,ERP
TXN0005816,2023-02-12,Spain,Retail,Retail Operations,6100,Salaries,OPEX,Actual,-2399.22,EUR,Planning
TXN0011058,2024-11-28,France,Retail,Retail Operations,5000,Cost of Goods Sold,COGS,Actual,-14155.33,EUR,CRM
TXN0014858,2024-03-14,France,Retail,Sales,5000,Cost of Goods Sold,COGS,Budget,-30083.03,EUR,ERP
TXN0015388,2023-06-14,Spain,Retail,Sales,6500,Professional Services,OPEX,Budget,-11750.38,EUR,ERP
TXN0014550,2024-06-02,Spain,Digital,Marketing,5000,Cost of Goods Sold,COGS,Budget,-33916.5,EUR,ERP
TXN0003509,2023-02-12,France,B2B,Finance,5000,Cost of Goods Sold,COGS,Actual,-28639.48,EUR,ERP
TXN0017264,2024-01-13,France,B2B,Finance,4010,Service Revenue,Revenue,Actual,22600.75,EUR,ERP
TXN0008508,2024-01-23,France,Retail,Retail Operations,5000,Cost of Goods Sold,COGS,Budget,-13217.07,EUR,Planning
TXN0015732,2023-12-06,Spain,B2B,Finance,6300,Travel & Expenses,OPEX,Actual,-3667.25,EUR,Planning
TXN0002849,2023-07-24,France,Retail,Sales,4010,Service Revenue,Revenue,Actual,167308.23,EUR,CRM
TXN0010389,2023-03-28,France,Retail,Sales,6400,Marketing Spend,OPEX,Budget,-2403.38,EUR,CRM
TXN0012793,2023-12-03,France,B2B,Finance,6100,Salaries,OPEX,Actual,-5943.51,EUR,Planning
TXN0007585,2023-01-07,France,Retail,Sales,6400,Marketing Spend,OPEX,Actual,-52100.19,EUR,ERP
TXN0003504,2023-05-28,France,B2B,Corporate Sales,4000,Product Revenue,Revenue,Budget,35012.23,EUR,Planning
TXN0004984,2023-10-21,Germany,Retail,Sales,6100,Salaries,OPEX,Budget,-8507.63,EUR,Planning
TXN0006424,2024-05-27,Germany,Digital,Marketing,6100,Salaries,OPEX,Budget,-5278.84,EUR,ERP
TXN0014576,2023-03-27,France,Retail,Retail Operations,6200,Cloud & Software,OPEX,Budget,-5374.6,EUR,ERP
TXN0000452,2024-11-07,Spain,Retail,Retail Operations,6100,Salaries,OPEX,Budget,-1869.34,EUR,ERP
TXN0002352,2024-07-02,Germany,Retail,Retail Operations,6100,Salaries,OPEX,Budget,-3172.52,EUR,ERP
TXN0018568,2023-05-10,Spain,Digital,IT & Data,5000,Cost of Goods Sold,COGS,Actual,-22564.19,EUR,ERP
TXN0018881,2023-05-10,France,Digital,IT & Data,6100,Salaries,OPEX,Actual,-19811.47,EUR,ERP
TXN0016112,2024-03-06,Germany,B2B,Finance,5000,Cost of Goods Sold,COGS,Budget,-20370.78,EUR,CRM
TXN0002504,2023-03-20,Spain,Digital,Marketing,6400,Marketing Spend,OPEX,Actual,-8311.09,EUR,ERP
TXN0000696,2023-07-05,France,Retail,Retail Operations,4000,Product Revenue,Revenue,Actual,29930.3,EUR,ERP
TXN0017682,2023-05-11,France,Retail,Sales,4000,Product Revenue,Revenue,Actual,48948.67,EUR,ERP
TXN0002546,2023-10-18,Germany,Digital,IT & Data,5000,Cost of Goods Sold,COGS,Actual,-34547.46,EUR,ERP
TXN0001298,2024-05-10,Spain,B2B,Corporate Sales,6500,Professional Services,OPEX,Actual,-5844.65,EUR,ERP
TXN0009093,2024-05-30,France,Retail,Retail Operations,6200,Cloud & Software,OPEX,Actual,-4447.7,EUR,ERP
TXN0015576,2024-09-10,France,B2B,Finance,6200,Cloud & Software,OPEX,Actual,-3536.56,EUR,ERP
TXN0005805,2023-08-13,Germany,Retail,Retail Operations,6200,Cloud & Software,OPEX,Actual,-3656.48,EUR,ERP
TXN0012196,2024-01-28,Spain,Retail,Sales,4000,Product Revenue,Revenue,Budget,46070.97,EUR,ERP
TXN0017123,2023-11-16,Germany,Digital,Marketing,6500,Professional Services,OPEX,Budget,-2569.0,EUR,ERP
TXN0003845,2024-11-04,Germany,B2B,Finance,6200,Cloud & Software,OPEX,Actual,-2485.59,EUR,Planning
TXN0009672,2024-08-27,France,Digital,IT & Data,5000,Cost of Goods Sold,COGS,Budget,-58058.03,EUR,ERP
TXN0012638,2023-12-24,Germany,Digital,Marketing,4000,Product Revenue,Revenue,Actual,49651.13,EUR,ERP
TXN0007307,2024-01-30,France,B2B,Finance,6500,Professional Services,OPEX,Actual,-3785.22,EUR,CRM
